Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 28, 2014",8:00p,New Orleans Pelicans,101,Orlando Magic,84,New Orleans Pelicans,"17,097"
"Tue, Oct 28, 2014",8:00p,San Antonio Spurs,101,Dallas Mavericks,100,San Antonio Spurs,"19,615"
"Tue, Oct 28, 2014",10:30p,Los Angeles Lakers,90,Houston Rockets,108,Houston Rockets,"18,997"
"Wed, Oct 29, 2014",7:00p,Charlotte Hornets,108,Milwaukee Bucks,106,Charlotte Hornets,"19,439"
"Wed, Oct 29, 2014",7:00p,Indiana Pacers,103,Philadelphia 76ers,91,Indiana Pacers,"18,165"
"Wed, Oct 29, 2014",7:30p,Toronto Raptors,109,Atlanta Hawks,102,Toronto Raptors,"19,800"
"Wed, Oct 29, 2014",7:30p,Miami Heat,107,Washington Wizards,95,Miami Heat,"19,744"
"Wed, Oct 29, 2014",7:30p,Boston Celtics,121,Brooklyn Nets,105,Boston Celtics,"18,624"
"Wed, Oct 29, 2014",8:00p,New York Knicks,80,Chicago Bulls,104,Chicago Bulls,"19,812"
"Wed, Oct 29, 2014",8:00p,Memphis Grizzlies,105,Minnesota Timberwolves,101,Memphis Grizzlies,"17,731"
"Wed, Oct 29, 2014",9:00p,Denver Nuggets,89,Detroit Pistons,79,Denver Nuggets,"17,136"
"Wed, Oct 29, 2014",9:00p,Utah Jazz,93,Houston Rockets,104,Houston Rockets,"19,911"
"Wed, Oct 29, 2014",10:00p,Phoenix Suns,119,Los Angeles Lakers,99,Phoenix Suns,"17,523"
"Wed, Oct 29, 2014",10:00p,Sacramento Kings,77,Golden State Warriors,95,Golden State Warriors,"17,317"
"Wed, Oct 29, 2014",10:30p,Portland Trail Blazers,106,Oklahoma City Thunder,89,Portland Trail Blazers,"19,441"
"Thu, Oct 30, 2014",7:00p,Orlando Magic,98,Washington Wizards,105,Washington Wizards,"18,846"
"Thu, Oct 30, 2014",8:00p,Cleveland Cavaliers,90,New York Knicks,95,New York Knicks,"20,562"
"Thu, Oct 30, 2014",8:00p,Minnesota Timberwolves,97,Detroit Pistons,91,Minnesota Timberwolves,"18,296"
"Thu, Oct 30, 2014",8:30p,Dallas Mavericks,120,Utah Jazz,102,Dallas Mavericks,"19,697"
"Thu, Oct 30, 2014",10:30p,Los Angeles Clippers,93,Oklahoma City Thunder,90,Los Angeles Clippers,"19,060"
"Fri, Oct 31, 2014",7:00p,Indiana Pacers,89,Memphis Grizzlies,97,Memphis Grizzlies,"14,441"
"Fri, Oct 31, 2014",8:00p,Chicago Bulls,108,Cleveland Cavaliers,114,Cleveland Cavaliers,"22,879"
"Fri, Oct 31, 2014",8:30p,Milwaukee Bucks,93,Philadelphia 76ers,81,Milwaukee Bucks,"18,717"
"Fri, Oct 31, 2014",10:00p,Phoenix Suns,94,San Antonio Spurs,89,Phoenix Suns,"15,050"
"Fri, Oct 31, 2014",10:00p,Sacramento Kings,103,Portland Trail Blazers,94,Sacramento Kings,"14,648"
"Fri, Oct 31, 2014",10:30p,Los Angeles Lakers,111,Los Angeles Clippers,118,Los Angeles Clippers,"18,997"
"Sat, Nov 1, 2014",7:00p,Charlotte Hornets,69,Memphis Grizzlies,71,Memphis Grizzlies,"18,133"
"Sat, Nov 1, 2014",7:00p,New Orleans Pelicans,104,Dallas Mavericks,109,Dallas Mavericks,"14,547"
"Sat, Nov 1, 2014",7:00p,Orlando Magic,95,Toronto Raptors,108,Toronto Raptors,"16,141"
"Sat, Nov 1, 2014",7:00p,Philadelphia 76ers,96,Miami Heat,114,Miami Heat,"19,753"
"Sat, Nov 1, 2014",7:00p,Washington Wizards,108,Milwaukee Bucks,97,Washington Wizards,"17,992"
"Sat, Nov 1, 2014",7:30p,Atlanta Hawks,102,Indiana Pacers,92,Atlanta Hawks,"19,118"
"Sat, Nov 1, 2014",7:30p,Detroit Pistons,90,Brooklyn Nets,102,Brooklyn Nets,"19,904"
"Sat, Nov 1, 2014",8:00p,Houston Rockets,104,Boston Celtics,90,Houston Rockets,"18,309"
"Sat, Nov 1, 2014",8:00p,Minnesota Timberwolves,105,Chicago Bulls,106,Chicago Bulls,"19,356"
"Sat, Nov 1, 2014",8:00p,Oklahoma City Thunder,102,Denver Nuggets,91,Oklahoma City Thunder,"18,203"
"Sat, Nov 1, 2014",9:00p,Utah Jazz,118,Phoenix Suns,91,Utah Jazz,"17,721"
"Sat, Nov 1, 2014",10:30p,Golden State Warriors,127,Los Angeles Lakers,104,Golden State Warriors,"19,596"
"Sun, Nov 2, 2014",3:30p,Los Angeles Clippers,92,Sacramento Kings,98,Sacramento Kings,"19,060"
"Sun, Nov 2, 2014",6:00p,Miami Heat,107,Toronto Raptors,102,Miami Heat,"19,666"
"Sun, Nov 2, 2014",7:30p,New York Knicks,96,Charlotte Hornets,93,New York Knicks,"19,812"
"Sun, Nov 2, 2014",9:00p,Portland Trail Blazers,90,Golden State Warriors,95,Golden State Warriors,"19,441"
"Mon, Nov 3, 2014",7:00p,Philadelphia 76ers,93,Houston Rockets,104,Houston Rockets,"12,896"
