Home,Home Points,Visitor,Visitor Points
Cleveland Cavaliers,94,Washington Wizards,84
Miami Heat,120,Boston Celtics,107
Los Angeles Lakers,91,Dallas Mavericks,99
Philadelphia 76ers,84,Denver Nuggets,75
Toronto Raptors,88,Indiana Pacers,90
Detroit Pistons,96,Houston Rockets,105
Chicago Bulls,93,Sacramento Kings,87
New Orleans Hornets,95,San Antonio Spurs,99
Utah Jazz,113,Dallas Mavericks,94
Phoenix Suns,85,Golden State Warriors,87
Los Angeles Clippers,101,Memphis Grizzlies,92
Portland Trail Blazers,116,Los Angeles Lakers,106
San Antonio Spurs,86,Oklahoma City Thunder,84
Charlotte Bobcats,90,Indiana Pacers,89
Orlando Magic,102,Denver Nuggets,89
Atlanta Hawks,102,Houston Rockets,109
Boston Celtics,88,Milwaukee Bucks,99
Cleveland Cavaliers,86,Chicago Bulls,115
Minnesota Timberwolves,92,Sacramento Kings,80
New Orleans Hornets,88,Utah Jazz,86
New York Knicks,104,Miami Heat,84
Oklahoma City Thunder,106,Portland Trail Blazers,92
Phoenix Suns,92,Detroit Pistons,89
Golden State Warriors,94,Memphis Grizzlies,104
Los Angeles Lakers,95,Los Angeles Clippers,105
Indiana Pacers,106,Sacramento Kings,98
Washington Wizards,86,Boston Celtics,89
Brooklyn Nets,107,Toronto Raptors,100
Miami Heat,119,Denver Nuggets,116
Chicago Bulls,82,New Orleans Hornets,89
Houston Rockets,85,Portland Trail Blazers,95
Dallas Mavericks,126,Charlotte Bobcats,99
Milwaukee Bucks,105,Cleveland Cavaliers,102
San Antonio Spurs,110,Utah Jazz,100
Los Angeles Clippers,110,Golden State Warriors,114
New York Knicks,100,Philadelphia 76ers,84
Orlando Magic,115,Phoenix Suns,94
Toronto Raptors,105,Minnesota Timberwolves,86
Oklahoma City Thunder,95,Atlanta Hawks,104
Los Angeles Lakers,108,Detroit Pistons,79
Philadelphia 76ers,88,New York Knicks,110
Brooklyn Nets,96,Minnesota Timberwolves,107
Miami Heat,124,Phoenix Suns,99
Memphis Grizzlies,103,Utah Jazz,94
Dallas Mavericks,114,Portland Trail Blazers,91
San Antonio Spurs,101,Indiana Pacers,79
Sacramento Kings,94,Golden State Warriors,92
Los Angeles Clippers,101,Cleveland Cavaliers,108
Chicago Bulls,99,Orlando Magic,93
Oklahoma City Thunder,108,Toronto Raptors,88
Denver Nuggets,109,Detroit Pistons,97
Charlotte Bobcats,110,Phoenix Suns,117
