Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Tue, Oct 19, 2021",7:30p,Milwaukee Bucks,127,Brooklyn Nets,104,Milwaukee Bucks,"17,341"
"Tue, Oct 19, 2021",10:00p,Los Angeles Lakers,114,Golden State Warriors,121,Golden State Warriors,"18,997"
"Wed, Oct 20, 2021",7:00p,Charlotte Hornets,123,Indiana Pacers,122,Charlotte Hornets,"15,521"
"Wed, Oct 20, 2021",7:00p,Detroit Pistons,88,Chicago Bulls,94,Chicago Bulls,"20,088"
"Wed, Oct 20, 2021",7:30p,New York Knicks,138,Boston Celtics,134,New York Knicks,"19,812"
"Wed, Oct 20, 2021",7:30p,Toronto Raptors,83,Washington Wizards,98,Washington Wizards,"19,800"
"Wed, Oct 20, 2021",8:00p,Memphis Grizzlies,132,Cleveland Cavaliers,121,Memphis Grizzlies,"15,975"
"Wed, Oct 20, 2021",8:00p,Minnesota Timberwolves,124,Houston Rockets,106,Minnesota Timberwolves,"16,079"
"Wed, Oct 20, 2021",8:00p,New Orleans Pelicans,97,Philadelphia 76ers,117,Philadelphia 76ers,"12,845"
"Wed, Oct 20, 2021",8:30p,San Antonio Spurs,123,Orlando Magic,97,San Antonio Spurs,"16,697"
"Wed, Oct 20, 2021",9:00p,Utah Jazz,107,Oklahoma City Thunder,86,Utah Jazz,"18,306"
"Wed, Oct 20, 2021",10:00p,Portland Trail Blazers,121,Sacramento Kings,124,Sacramento Kings,"17,467"
"Wed, Oct 20, 2021",10:00p,Phoenix Suns,98,Denver Nuggets,110,Denver Nuggets,"16,074"
"Thu, Oct 21, 2021",7:30p,Atlanta Hawks,113,Dallas Mavericks,87,Atlanta Hawks,"17,162"
"Thu, Oct 21, 2021",8:00p,Miami Heat,137,Milwaukee Bucks,95,Miami Heat,"19,600"
"Thu, Oct 21, 2021",10:00p,Golden State Warriors,115,Los Angeles Clippers,113,Golden State Warriors,"18,064"
"Fri, Oct 22, 2021",7:00p,Orlando Magic,96,New York Knicks,121,New York Knicks,"18,846"
"Fri, Oct 22, 2021",7:00p,Washington Wizards,135,Indiana Pacers,134,Washington Wizards,"15,407"
"Fri, Oct 22, 2021",7:00p,Cleveland Cavaliers,112,Charlotte Hornets,123,Charlotte Hornets,"17,116"
"Fri, Oct 22, 2021",7:30p,Boston Celtics,83,Toronto Raptors,115,Toronto Raptors,"19,156"
"Fri, Oct 22, 2021",7:30p,Philadelphia 76ers,109,Brooklyn Nets,114,Brooklyn Nets,"20,367"
"Fri, Oct 22, 2021",8:00p,Houston Rockets,124,Oklahoma City Thunder,91,Houston Rockets,"15,674"
"Fri, Oct 22, 2021",8:00p,Chicago Bulls,128,New Orleans Pelicans,112,Chicago Bulls,"20,995"
"Fri, Oct 22, 2021",9:00p,Denver Nuggets,102,San Antonio Spurs,96,Denver Nuggets,"19,520"
"Fri, Oct 22, 2021",10:00p,Los Angeles Lakers,105,Phoenix Suns,115,Phoenix Suns,"18,997"
"Fri, Oct 22, 2021",10:00p,Sacramento Kings,101,Utah Jazz,110,Utah Jazz,"17,583"
"Sat, Oct 23, 2021",6:00p,Cleveland Cavaliers,101,Atlanta Hawks,95,Cleveland Cavaliers,"16,846"
"Sat, Oct 23, 2021",7:00p,Indiana Pacers,102,Miami Heat,91,Indiana Pacers,"17,147"
"Sat, Oct 23, 2021",7:30p,Toronto Raptors,95,Dallas Mavericks,103,Dallas Mavericks,"19,800"
"Sat, Oct 23, 2021",8:00p,Chicago Bulls,97,Detroit Pistons,82,Chicago Bulls,"18,888"
"Sat, Oct 23, 2021",8:00p,Minnesota Timberwolves,96,New Orleans Pelicans,89,Minnesota Timberwolves,"15,343"
"Sat, Oct 23, 2021",8:30p,San Antonio Spurs,111,Milwaukee Bucks,121,Milwaukee Bucks,"14,353"
"Sat, Oct 23, 2021",10:00p,Portland Trail Blazers,134,Phoenix Suns,105,Portland Trail Blazers,"18,558"
"Sat, Oct 23, 2021",10:30p,Los Angeles Clippers,114,Memphis Grizzlies,120,Memphis Grizzlies,"16,748"
"Sun, Oct 24, 2021",4:00p,Brooklyn Nets,95,Charlotte Hornets,111,Charlotte Hornets,"17,732"
"Sun, Oct 24, 2021",7:00p,Houston Rockets,97,Boston Celtics,107,Boston Celtics,"16,069"
"Sun, Oct 24, 2021",7:00p,New York Knicks,104,Orlando Magic,110,Orlando Magic,"16,273"
"Sun, Oct 24, 2021",7:00p,Oklahoma City Thunder,103,Philadelphia 76ers,115,Philadelphia 76ers,"14,256"
"Sun, Oct 24, 2021",9:00p,Sacramento Kings,107,Golden State Warriors,119,Golden State Warriors,"13,876"
"Sun, Oct 24, 2021",9:30p,Los Angeles Lakers,121,Memphis Grizzlies,118,Los Angeles Lakers,"18,997"
"Mon, Oct 25, 2021",7:00p,Charlotte Hornets,129,Boston Celtics,140,Boston Celtics,"17,238"
"Mon, Oct 25, 2021",7:00p,Indiana Pacers,109,Milwaukee Bucks,119,Milwaukee Bucks,"10,339"
"Mon, Oct 25, 2021",7:30p,Toronto Raptors,108,Chicago Bulls,111,Chicago Bulls,"19,800"
"Mon, Oct 25, 2021",7:30p,Miami Heat,107,Orlando Magic,90,Miami Heat,"19,600"
"Mon, Oct 25, 2021",7:30p,Brooklyn Nets,104,Washington Wizards,90,Brooklyn Nets,"14,487"
"Mon, Oct 25, 2021",7:30p,Atlanta Hawks,122,Detroit Pistons,104,Atlanta Hawks,"14,209"
"Mon, Oct 25, 2021",8:00p,Minnesota Timberwolves,98,New Orleans Pelicans,107,New Orleans Pelicans,"14,435"
"Mon, Oct 25, 2021",9:00p,Denver Nuggets,87,Cleveland Cavaliers,99,Cleveland Cavaliers,"14,221"
"Mon, Oct 25, 2021",10:30p,Los Angeles Clippers,116,Portland Trail Blazers,86,Los Angeles Clippers,"15,672"
"Tue, Oct 26, 2021",7:30p,New York Knicks,112,Philadelphia 76ers,99,New York Knicks,"15,218"
"Tue, Oct 26, 2021",8:00p,Oklahoma City Thunder,98,Golden State Warriors,106,Golden State Warriors,0
"Tue, Oct 26, 2021",8:30p,San Antonio Spurs,121,Los Angeles Lakers,125,Los Angeles Lakers,"18,354"
"Tue, Oct 26, 2021",8:30p,Dallas Mavericks,116,Houston Rockets,106,Dallas Mavericks,"19,337"
"Tue, Oct 26, 2021",10:00p,Utah Jazz,122,Denver Nuggets,110,Utah Jazz,"18,306"
"Wed, Oct 27, 2021",7:00p,Orlando Magic,111,Charlotte Hornets,120,Charlotte Hornets,"14,082"
"Wed, Oct 27, 2021",7:30p,Boston Celtics,107,Washington Wizards,116,Washington Wizards,"19,156"
"Wed, Oct 27, 2021",7:30p,Brooklyn Nets,93,Miami Heat,106,Miami Heat,"17,732"
"Wed, Oct 27, 2021",7:30p,Toronto Raptors,118,Indiana Pacers,100,Toronto Raptors,"19,800"
"Wed, Oct 27, 2021",7:30p,New Orleans Pelicans,99,Atlanta Hawks,102,Atlanta Hawks,"15,541"
"Wed, Oct 27, 2021",8:00p,Milwaukee Bucks,108,Minnesota Timberwolves,113,Minnesota Timberwolves,"17,341"
"Wed, Oct 27, 2021",8:00p,Oklahoma City Thunder,123,Los Angeles Lakers,115,Oklahoma City Thunder,"15,783"
"Wed, Oct 27, 2021",10:00p,Phoenix Suns,107,Sacramento Kings,110,Sacramento Kings,"14,678"
"Wed, Oct 27, 2021",10:00p,Portland Trail Blazers,116,Memphis Grizzlies,96,Portland Trail Blazers,"16,241"
"Wed, Oct 27, 2021",10:30p,Los Angeles Clippers,79,Cleveland Cavaliers,92,Cleveland Cavaliers,"13,276"
"Thu, Oct 28, 2021",7:00p,Washington Wizards,122,Atlanta Hawks,111,Washington Wizards,"13,653"
"Thu, Oct 28, 2021",7:00p,Philadelphia 76ers,110,Detroit Pistons,102,Philadelphia 76ers,"20,017"
"Thu, Oct 28, 2021",8:00p,Houston Rockets,91,Utah Jazz,122,Utah Jazz,"15,858"
"Thu, Oct 28, 2021",8:00p,Chicago Bulls,103,New York Knicks,104,New York Knicks,"20,972"
"Thu, Oct 28, 2021",8:30p,Dallas Mavericks,104,San Antonio Spurs,99,Dallas Mavericks,"19,228"
"Thu, Oct 28, 2021",10:00p,Golden State Warriors,101,Memphis Grizzlies,104,Memphis Grizzlies,"18,064"
"Fri, Oct 29, 2021",7:00p,Toronto Raptors,110,Orlando Magic,109,Toronto Raptors,"19,800"
"Fri, Oct 29, 2021",7:30p,Miami Heat,114,Charlotte Hornets,99,Miami Heat,"19,600"
"Fri, Oct 29, 2021",7:30p,Brooklyn Nets,105,Indiana Pacers,98,Brooklyn Nets,"16,139"
"Fri, Oct 29, 2021",8:00p,New Orleans Pelicans,109,Sacramento Kings,113,Sacramento Kings,"17,507"
"Fri, Oct 29, 2021",10:00p,Denver Nuggets,106,Dallas Mavericks,75,Denver Nuggets,"18,315"
"Fri, Oct 29, 2021",10:00p,Portland Trail Blazers,111,Los Angeles Clippers,92,Portland Trail Blazers,"16,510"
"Fri, Oct 29, 2021",10:30p,Los Angeles Lakers,113,Cleveland Cavaliers,101,Los Angeles Lakers,"18,997"
"Sat, Oct 30, 2021",5:00p,Washington Wizards,115,Boston Celtics,112,Washington Wizards,"15,813"
"Sat, Oct 30, 2021",7:00p,Detroit Pistons,110,Orlando Magic,103,Detroit Pistons,"11,423"
"Sat, Oct 30, 2021",7:00p,New Orleans Pelicans,117,New York Knicks,123,New York Knicks,"16,508"
"Sat, Oct 30, 2021",7:30p,Indiana Pacers,94,Toronto Raptors,97,Toronto Raptors,"10,578"
"Sat, Oct 30, 2021",7:30p,Philadelphia 76ers,122,Atlanta Hawks,94,Philadelphia 76ers,"20,031"
"Sat, Oct 30, 2021",8:00p,Chicago Bulls,107,Utah Jazz,99,Chicago Bulls,"20,668"
"Sat, Oct 30, 2021",8:00p,Memphis Grizzlies,103,Miami Heat,129,Miami Heat,"15,989"
"Sat, Oct 30, 2021",8:00p,Milwaukee Bucks,93,San Antonio Spurs,102,San Antonio Spurs,"17,341"
"Sat, Oct 30, 2021",8:30p,Golden State Warriors,103,Oklahoma City Thunder,82,Golden State Warriors,"18,064"
"Sat, Oct 30, 2021",9:00p,Minnesota Timberwolves,91,Denver Nuggets,93,Denver Nuggets,"17,136"
"Sat, Oct 30, 2021",10:00p,Phoenix Suns,101,Cleveland Cavaliers,92,Phoenix Suns,"14,516"
"Sun, Oct 31, 2021",3:30p,Dallas Mavericks,105,Sacramento Kings,99,Dallas Mavericks,"19,231"
"Sun, Oct 31, 2021",7:00p,Charlotte Hornets,125,Portland Trail Blazers,113,Charlotte Hornets,"14,960"
"Sun, Oct 31, 2021",7:00p,Milwaukee Bucks,95,Utah Jazz,107,Utah Jazz,"17,341"
"Sun, Oct 31, 2021",7:30p,Brooklyn Nets,117,Detroit Pistons,91,Brooklyn Nets,"13,507"
"Sun, Oct 31, 2021",10:30p,Los Angeles Lakers,95,Houston Rockets,85,Los Angeles Lakers,"16,448"
"Mon, Nov 1, 2021",7:00p,Charlotte Hornets,110,Cleveland Cavaliers,113,Cleveland Cavaliers,"13,889"
"Mon, Nov 1, 2021",7:00p,Indiana Pacers,131,San Antonio Spurs,118,Indiana Pacers,"10,227"
"Mon, Nov 1, 2021",7:00p,Philadelphia 76ers,113,Portland Trail Blazers,103,Philadelphia 76ers,"20,115"
"Mon, Nov 1, 2021",7:30p,Atlanta Hawks,118,Washington Wizards,111,Atlanta Hawks,"14,632"
"Mon, Nov 1, 2021",7:30p,Boston Celtics,114,Chicago Bulls,128,Chicago Bulls,"19,156"
"Mon, Nov 1, 2021",7:30p,New York Knicks,104,Toronto Raptors,113,Toronto Raptors,"16,528"
"Mon, Nov 1, 2021",8:00p,Memphis Grizzlies,106,Denver Nuggets,97,Memphis Grizzlies,"12,683"
"Mon, Nov 1, 2021",8:00p,Minnesota Timberwolves,97,Orlando Magic,115,Orlando Magic,"14,744"
"Mon, Nov 1, 2021",10:30p,Los Angeles Clippers,99,Oklahoma City Thunder,94,Los Angeles Clippers,"13,722"
"Tue, Nov 2, 2021",7:00p,Detroit Pistons,89,Milwaukee Bucks,117,Milwaukee Bucks,"9,254"
"Tue, Nov 2, 2021",7:30p,Dallas Mavericks,110,Miami Heat,125,Miami Heat,"19,255"
"Tue, Nov 2, 2021",9:00p,Utah Jazz,119,Sacramento Kings,113,Utah Jazz,"18,306"
"Tue, Nov 2, 2021",10:00p,Phoenix Suns,112,New Orleans Pelicans,100,Phoenix Suns,"14,323"
"Tue, Nov 2, 2021",10:30p,Los Angeles Lakers,119,Houston Rockets,117,Los Angeles Lakers,"18,997"
"Wed, Nov 3, 2021",7:00p,Cleveland Cavaliers,107,Portland Trail Blazers,104,Cleveland Cavaliers,"16,231"
"Wed, Nov 3, 2021",7:00p,Indiana Pacers,111,New York Knicks,98,Indiana Pacers,"11,607"
"Wed, Nov 3, 2021",7:00p,Orlando Magic,79,Boston Celtics,92,Boston Celtics,"12,735"
"Wed, Nov 3, 2021",7:00p,Philadelphia 76ers,103,Chicago Bulls,98,Philadelphia 76ers,"20,438"
"Wed, Nov 3, 2021",7:00p,Washington Wizards,100,Toronto Raptors,109,Toronto Raptors,"13,538"
"Wed, Nov 3, 2021",7:30p,Brooklyn Nets,117,Atlanta Hawks,108,Brooklyn Nets,"17,323"
"Wed, Nov 3, 2021",8:00p,Memphis Grizzlies,108,Denver Nuggets,106,Memphis Grizzlies,"12,977"
"Wed, Nov 3, 2021",8:00p,Minnesota Timberwolves,115,Los Angeles Clippers,126,Los Angeles Clippers,"15,386"
"Wed, Nov 3, 2021",8:30p,San Antonio Spurs,108,Dallas Mavericks,109,Dallas Mavericks,"16,356"
"Wed, Nov 3, 2021",10:00p,Golden State Warriors,114,Charlotte Hornets,92,Golden State Warriors,"18,064"
"Wed, Nov 3, 2021",10:00p,Sacramento Kings,112,New Orleans Pelicans,99,Sacramento Kings,0
"Thu, Nov 4, 2021",7:00p,Detroit Pistons,98,Philadelphia 76ers,109,Philadelphia 76ers,"8,702"
"Thu, Nov 4, 2021",7:30p,Atlanta Hawks,98,Utah Jazz,116,Utah Jazz,"16,590"
"Thu, Nov 4, 2021",7:30p,Miami Heat,78,Boston Celtics,95,Boston Celtics,"19,600"
"Thu, Nov 4, 2021",10:00p,Phoenix Suns,123,Houston Rockets,111,Phoenix Suns,"15,058"
"Thu, Nov 4, 2021",10:30p,Los Angeles Lakers,104,Oklahoma City Thunder,107,Oklahoma City Thunder,"18,997"
"Fri, Nov 5, 2021",7:00p,Detroit Pistons,90,Brooklyn Nets,96,Brooklyn Nets,"14,235"
"Fri, Nov 5, 2021",7:00p,Orlando Magic,89,San Antonio Spurs,102,San Antonio Spurs,"14,101"
