game,date,age,playerTeam,homeGame,opponent,result,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gameScoreStat
1,2020-12-22,35-358,LAL,True,LAC,L (-7),1,7,17,.412,3,8,.375,5,7,.714,2,3,5,5,0,0,4,2,22,13.1
2,2020-12-25,35-361,LAL,True,DAL,W (+23),1,8,18,.444,3,8,.375,3,4,.750,1,6,7,10,1,0,4,0,22,18.7
3,2020-12-27,35-363,LAL,True,MIN,W (+36),1,6,13,.462,1,5,.200,5,7,.714,0,9,9,5,1,0,4,1,18,13.3
4,2020-12-28,35-364,LAL,True,POR,L (-8),1,11,20,.550,3,7,.429,4,5,.800,2,7,9,6,2,1,3,2,29,25.6
5,2020-12-30,36-000,LAL,False,SAS,W (+14),1,11,23,.478,1,3,.333,3,5,.600,0,5,5,8,1,1,2,1,26,19.9
6,2021-01-01,36-002,LAL,False,SAS,W (+6),1,8,22,.364,3,7,.429,7,7,1.000,1,10,11,10,2,0,4,0,26,22.5
7,2021-01-03,36-004,LAL,False,MEM,W (+14),1,9,16,.563,3,6,.500,1,3,.333,0,13,13,8,1,0,2,2,22,21.3
8,2021-01-05,36-006,LAL,False,MEM,W (+2),1,11,20,.550,1,4,.250,3,3,1.000,2,10,12,7,1,1,6,0,26,21.4
9,2021-01-07,36-008,LAL,True,SAS,L (-9),1,8,15,.533,4,7,.571,7,11,.636,0,6,6,12,0,0,4,3,27,23.1
10,2021-01-08,36-009,LAL,True,CHI,W (+2),1,11,21,.524,0,5,.000,6,8,.750,0,7,7,7,0,0,4,1,28,19.5
11,2021-01-10,36-011,LAL,False,HOU,W (+18),1,7,15,.467,1,6,.167,3,6,.500,1,6,7,7,1,1,2,2,18,15.4
12,2021-01-12,36-013,LAL,False,HOU,W (+17),1,10,20,.500,4,9,.444,2,4,.500,1,7,8,5,0,1,5,0,26,17.2
13,2021-01-13,36-014,LAL,False,OKC,W (+29),1,9,20,.450,5,8,.625,3,4,.750,0,6,6,7,0,0,2,2,26,19.1
14,2021-01-15,36-016,LAL,True,NOP,W (+17),1,6,11,.545,2,6,.333,7,7,1.000,1,7,8,11,1,0,3,3,21,23.0
15,2021-01-18,36-019,LAL,True,GSW,L (-2),1,6,16,.375,2,7,.286,5,8,.625,0,5,5,5,1,0,5,1,19,9.6
16,2021-01-21,36-022,LAL,False,MIL,W (+7),1,13,25,.520,6,10,.600,2,2,1.000,1,5,6,8,1,1,3,2,34,27.4
17,2021-01-23,36-024,LAL,False,CHI,W (+11),1,6,16,.375,0,2,.000,5,8,.625,0,11,11,6,2,0,6,1,17,10.1
18,2021-01-25,36-026,LAL,False,CLE,W (+7),1,19,26,.731,7,11,.636,1,2,.500,0,8,8,6,2,2,3,1,46,41.6
19,2021-01-27,36-028,LAL,False,PHI,L (-1),1,12,22,.545,2,5,.400,8,11,.727,0,6,6,7,0,0,3,3,34,24.7
20,2021-01-28,36-029,LAL,False,DET,L (-15),1,8,19,.421,4,8,.500,2,3,.667,2,5,7,10,1,0,2,2,22,19.6
21,2021-01-30,36-031,LAL,False,BOS,W (+1),1,7,17,.412,4,11,.364,3,5,.600,1,6,7,7,0,1,5,3,21,13.0
22,2021-02-01,36-033,LAL,False,ATL,W (+8),1,5,12,.417,2,6,.333,9,11,.818,0,7,7,9,2,1,2,0,21,22.9
23,2021-02-04,36-036,LAL,True,DEN,W (+21),1,12,19,.632,2,5,.400,1,2,.500,0,10,10,10,0,1,2,1,27,26.4
24,2021-02-06,36-038,LAL,True,DET,W (+6),1,13,26,.500,3,7,.429,4,6,.667,0,5,5,11,4,0,7,3,33,24.2
25,2021-02-08,36-040,LAL,True,OKC,W (+7),1,11,22,.500,2,10,.200,4,5,.800,0,14,14,12,2,2,5,3,28,26.4
26,2021-02-10,36-042,LAL,True,OKC,W (+1),1,9,20,.450,3,9,.333,4,4,1.000,0,6,6,7,2,0,5,2,25,17.5
27,2021-02-12,36-044,LAL,True,MEM,W (+10),1,9,15,.600,1,4,.250,9,14,.643,1,8,9,8,2,0,5,2,28,24.0
28,2021-02-14,36-046,LAL,False,DEN,L (-17),1,9,18,.500,0,5,.000,4,7,.571,1,9,10,9,0,1,1,2,22,20.4
29,2021-02-16,36-048,LAL,False,MIN,W (+8),1,13,20,.650,1,4,.250,3,4,.750,0,13,13,7,0,1,5,1,30,24.9
30,2021-02-18,36-050,LAL,True,BRK,L (-11),1,14,23,.609,1,6,.167,3,6,.500,0,8,8,7,0,0,3,1,32,24.2
31,2021-02-20,36-052,LAL,True,MIA,L (-2),1,7,21,.333,1,8,.125,4,4,1.000,1,8,9,9,1,1,5,3,19,12.0
32,2021-02-22,36-054,LAL,True,WAS,L (-3),1,14,29,.483,2,10,.200,1,3,.333,0,9,9,13,1,0,8,2,31,19.5
33,2021-02-24,36-056,LAL,False,UTA,L (-25),1,7,13,.538,1,5,.200,4,5,.800,0,4,4,4,1,0,4,0,19,13.3
34,2021-02-26,36-058,LAL,True,POR,W (+9),1,11,21,.524,2,5,.400,4,8,.500,1,10,11,7,4,3,2,1,28,28.4
35,2021-02-28,36-060,LAL,True,GSW,W (+26),1,7,12,.583,3,5,.600,2,4,.500,2,4,6,4,2,2,2,2,19,18.6
36,2021-03-02,36-062,LAL,True,PHO,L (-10),1,16,24,.667,3,8,.375,3,5,.600,0,5,5,6,2,1,3,1,38,31.8
,2021-03-03,36-063,LAL,False,SAC,L (-3),,,,,,,,,,,,,,,,,,,,
37,2021-03-12,36-072,LAL,True,IND,W (+5),1,5,13,.385,1,4,.250,7,11,.636,0,3,3,10,1,0,3,4,18,13.6
38,2021-03-15,36-075,LAL,False,GSW,W (+31),1,8,13,.615,2,4,.500,4,6,.667,1,9,10,11,0,0,6,3,22,19.2
39,2021-03-16,36-076,LAL,True,MIN,W (+16),1,8,14,.571,4,7,.571,5,5,1.000,1,11,12,12,0,1,4,0,25,27.5
40,2021-03-18,36-078,LAL,True,CHO,W (+11),1,14,23,.609,4,9,.444,5,6,.833,1,7,8,6,1,1,3,2,37,31.0
41,2021-03-20,36-080,LAL,True,ATL,L (-5),1,3,6,.500,1,2,.500,3,3,1.000,0,1,1,4,0,0,1,0,10,9.1
,2021-03-21,36-081,LAL,False,PHO,L (-17),,,,,,,,,,,,,,,,,,,,
,2021-03-23,36-083,LAL,False,NOP,L (-17),,,,,,,,,,,,,,,,,,,,
,2021-03-25,36-085,LAL,True,PHI,L (-8),,,,,,,,,,,,,,,,,,,,
,2021-03-26,36-086,LAL,True,CLE,W (+14),,,,,,,,,,,,,,,,,,,,
,2021-03-28,36-088,LAL,True,ORL,W (+3),,,,,,,,,,,,,,,,,,,,
,2021-03-31,36-091,LAL,True,MIL,L (-15),,,,,,,,,,,,,,,,,,,,
,2021-04-02,36-093,LAL,False,SAC,W (+21),,,,,,,,,,,,,,,,,,,,
,2021-04-04,36-095,LAL,False,LAC,L (-18),,,,,,,,,,,,,,,,,,,,
,2021-04-06,36-097,LAL,False,TOR,W (+9),,,,,,,,,,,,,,,,,,,,
,2021-04-08,36-099,LAL,False,MIA,L (-6),,,,,,,,,,,,,,,,,,,,
,2021-04-10,36-101,LAL,False,BRK,W (+25),,,,,,,,,,,,,,,,,,,,
,2021-04-12,36-103,LAL,False,NYK,L (-15),,,,,,,,,,,,,,,,,,,,
,2021-04-13,36-104,LAL,False,CHO,W (+8),,,,,,,,,,,,,,,,,,,,
,2021-04-15,36-106,LAL,True,BOS,L (-8),,,,,,,,,,,,,,,,,,,,
,2021-04-17,36-108,LAL,True,UTA,W (+12),,,,,,,,,,,,,,,,,,,,
,2021-04-19,36-110,LAL,True,UTA,L (-14),,,,,,,,,,,,,,,,,,,,
,2021-04-22,36-113,LAL,False,DAL,L (-5),,,,,,,,,,,,,,,,,,,,
,2021-04-24,36-115,LAL,False,DAL,L (-15),,,,,,,,,,,,,,,,,,,,
,2021-04-26,36-117,LAL,False,ORL,W (+11),,,,,,,,,,,,,,,,,,,,
,2021-04-28,36-119,LAL,False,WAS,L (-9),,,,,,,,,,,,,,,,,,,,
42,2021-04-30,36-121,LAL,True,SAC,L (-4),1,6,12,.500,1,5,.200,3,5,.600,1,7,8,7,2,1,5,1,16,14.2
43,2021-05-02,36-123,LAL,True,TOR,L (-7),1,6,11,.545,2,5,.400,5,7,.714,0,7,7,6,0,0,5,2,19,13.4
,2021-05-03,36-124,LAL,True,DEN,W (+4),,,,,,,,,,,,,,,,,,,,
,2021-05-06,36-127,LAL,False,LAC,L (-24),,,,,,,,,,,,,,,,,,,,
,2021-05-07,36-128,LAL,False,POR,L (-5),,,,,,,,,,,,,,,,,,,,
,2021-05-09,36-130,LAL,True,PHO,W (+13),,,,,,,,,,,,,,,,,,,,
,2021-05-11,36-132,LAL,True,NYK,W (+2),,,,,,,,,,,,,,,,,,,,
,2021-05-12,36-133,LAL,True,HOU,W (+2),,,,,,,,,,,,,,,,,,,,
44,2021-05-15,36-136,LAL,False,IND,W (+7),1,11,22,.500,1,4,.250,1,2,.500,3,4,7,8,0,0,4,2,24,16.7
45,2021-05-16,36-137,LAL,False,NOP,W (+12),1,11,22,.500,2,5,.400,1,2,.500,1,0,1,6,3,0,2,0,25,19.5
