name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Nikola Jokic,DEN,C,79,2085,976,708,68,108,58.3,81.7,35.9,358,739,83,237,2736,68,25,4433.2
Luka Doncic,DAL,PG,70,2370,647,686,38,99,48.7,78.6,38.2,478,520,284,282,2624,49,21,4167.4
Giannis Antetokounmpo,MIL,PF,73,2222,841,476,79,87,61.1,65.7,27.4,514,803,34,250,2567,57,10,4027.2
Domantas Sabonis,SAC,C,82,1593,1120,673,48,74,59.4,70.4,37.9,292,601,33,272,2928,77,26,3918.5
Anthony Davis,LAL,C,76,1876,961,266,178,91,55.6,81.6,27.1,421,684,29,159,2700,64,2,3807.2
Shai Gilgeous-Alexander,OKC,PG,75,2254,415,465,67,150,53.5,87.4,35.3,567,701,95,162,2552,8,0,3721.5
LeBron James,LAL,SF,71,1822,518,589,38,89,54.0,75.0,41.0,303,536,149,245,2503,27,5,3336.1
Jalen Brunson,NY,PG,77,2212,278,519,13,70,47.9,84.7,40.1,421,579,211,186,2726,9,0,3304.1
Jayson Tatum,BOS,SF,74,1987,601,364,43,75,47.1,83.3,37.6,414,443,229,188,2645,25,0,3302.2
Kevin Durant,PHO,PF,75,2032,495,378,91,69,52.3,85.6,41.3,362,583,168,244,2790,14,1,3269.0
Victor Wembanyama,SA,PF,71,1522,755,274,254,88,46.5,79.6,32.5,292,423,128,260,2106,43,2,3263.0
Anthony Edwards,MIN,SG,79,2049,430,405,42,101,46.1,83.6,35.7,423,528,190,241,2770,9,0,3217.5
De'Aaron Fox,SAC,PG,74,1966,340,418,31,150,46.5,73.8,36.9,312,506,214,194,2658,6,0,3169.0
Paolo Banchero,ORL,PF,80,1804,554,431,47,71,45.5,72.5,33.9,405,521,119,247,2798,16,2,3104.3
Dejounte Murray,ATL,SG,78,1753,416,502,24,111,45.9,79.4,36.3,208,471,201,201,2783,20,1,3074.2
DeMar DeRozan,CHI,SF,79,1897,340,421,45,90,48.0,85.3,33.3,522,575,75,135,2988,7,0,3071.5
Pascal Siakam,IND,PF,80,1737,565,342,25,63,53.6,73.2,34.6,290,596,85,141,2657,15,1,2963.0
Tyrese Haliburton,IND,PG,69,1389,271,752,48,83,47.7,85.5,36.4,194,305,195,159,2223,44,1,2945.2
Devin Booker,PHO,SG,68,1841,308,472,28,61,49.2,88.6,36.4,405,490,152,178,2446,13,0,2918.6
Damian Lillard,MIL,PG,73,1775,320,508,18,72,42.4,92.0,35.4,473,321,220,193,2578,12,0,2908.0
Stephen Curry,GS,PG,74,1956,330,379,28,54,45.0,92.3,40.8,299,293,357,210,2421,7,0,2874.5
Tyrese Maxey,PHI,PG,70,1816,258,433,33,69,45.0,86.8,37.3,328,426,212,116,2625,9,0,2863.1
Nikola Vucevic,CHI,C,76,1370,801,254,60,50,48.4,82.2,29.4,106,494,92,120,2609,45,0,2812.2
Bam Adebayo,MIA,C,71,1367,737,278,66,81,52.1,75.5,35.7,292,515,15,162,2416,42,2,2800.4
Chet Holmgren,OKC,C,82,1357,648,200,190,53,53.0,79.3,37.0,218,376,129,131,2412,23,0,2789.6
Jarrett Allen,CLE,C,77,1271,811,210,81,53,63.4,74.2,0.0,233,519,0,121,2442,42,0,2706.2
Rudy Gobert,MIN,C,76,1061,982,102,162,52,66.1,63.8,0.0,249,406,0,118,2593,54,0,2702.4
Kawhi Leonard,LAC,SF,68,1613,416,244,59,111,52.5,88.5,41.7,253,470,140,119,2330,4,1,2699.2
Fred VanVleet,HOU,PG,73,1270,278,589,59,101,41.6,86.0,38.7,197,196,227,126,2684,20,0,2681.1
Paul George,LAC,SF,74,1671,388,262,37,113,47.1,90.7,41.3,264,339,243,153,2501,3,0,2676.6
Zion Williamson,NO,PF,70,1601,406,352,47,77,57.0,70.2,33.3,347,618,6,193,2207,12,0,2671.2
James Harden,LAC,SG,72,1192,369,614,57,77,42.8,87.8,38.1,302,166,186,185,2469,23,3,2638.8
Alperen Sengün,HOU,C,63,1331,589,312,46,76,53.7,69.3,29.7,244,494,33,162,2045,29,2,2587.8
