Team Name,Wins,Losses
Phoenix Suns,64,18
Memphis Grizzlies,56,26
Golden State Warriors,53,29
Miami Heat,53,29
Dallas Mavericks,52,30
Boston Celtics,51,31
Milwaukee Bucks,51,31
Philadelphia 76ers,51,31
Utah Jazz,49,33
Denver Nuggets,48,34
Toronto Raptors,48,34
Chicago Bulls,46,36
Minnesota Timberwolves,46,36
Brooklyn Nets,44,38
Cleveland Cavaliers,44,38
Atlanta Hawks,43,39
Charlotte Hornets,43,39
Los Angeles Clippers,42,40
New York Knicks,37,45
New Orleans Pelicans,36,46
Washington Wizards,35,47
San Antonio Spurs,34,48
Los Angeles Lakers,33,49
Sacramento Kings,30,52
Portland Trail Blazers,27,55
Indiana Pacers,25,57
Oklahoma City Thunder,24,58
Detroit Pistons,23,59
Orlando Magic,22,60
Houston Rockets,20,62
