name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
James Harden,HOU,PG,78,2818,518,586,58,158,44.2,87.9,36.8,754,465,378,387,2866,34,7,4363.6
Russell Westbrook,OKC,PG,73,1675,807,784,33,142,42.8,65.6,29.0,296,511,119,325,2629,57,34,3844.4
Giannis Antetokounmpo,MIL,PF,72,1994,898,424,110,92,57.8,72.9,25.6,500,669,52,268,2358,54,5,3843.6
Paul George,OKC,SF,77,2159,628,318,34,170,43.8,83.9,38.6,453,415,292,205,2841,24,1,3592.6
Nikola Jokic,DEN,C,80,1604,865,580,55,108,51.1,82.1,30.7,289,533,83,248,2503,56,12,3590.0
Karl-Anthony Towns,MIN,C,77,1880,954,259,125,67,51.8,83.6,40.0,376,539,142,240,2544,54,0,3557.3
Nikola Vucevic,ORL,C,80,1665,960,307,89,81,51.8,78.9,36.4,179,617,84,159,2510,60,1,3458.5
Bradley Beal,WAS,SG,82,2099,411,448,58,121,47.5,80.8,35.1,362,555,209,224,3027,11,2,3398.2
Andre Drummond,DET,C,79,1370,1232,112,138,136,53.3,59.0,13.2,243,556,5,175,2647,69,0,3389.4
Damian Lillard,POR,PG,80,2067,371,551,34,88,44.4,91.2,36.9,468,444,237,212,2837,13,0,3370.7
Kevin Durant,GS,SF,78,2027,497,457,84,58,52.1,88.5,35.3,448,584,137,225,2701,16,2,3367.9
Kemba Walker,CHA,PG,82,2102,361,483,34,102,43.4,84.4,35.6,380,471,260,211,2862,10,0,3320.7
Joel Embiid,PHI,C,64,1761,871,234,122,46,48.4,80.4,30.0,522,501,79,226,2154,58,2,3267.2
Ben Simmons,PHI,PG,79,1337,697,610,61,112,56.2,60.0,0.0,257,540,0,274,2700,42,10,3160.4
Rudy Gobert,UTA,C,81,1284,1041,161,187,66,66.9,63.6,,332,476,0,130,2576,66,0,3150.7
